"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
1,The Shawshank Redempton,1994,2603314,9.3,15,142 mn,Drama,81,"Two mprsoned men bond over a number of years, fndng solace and eventual redempton through acts of common decency.",Frank Darabont,Tm Robbns,Morgan Freeman,Bob Gunton,Wllam Sadler,$28.34M
2,The Godfather,1972,1798731,9.2,X,175 mn,"Crme, Drama",100,The agng patrarch of an organzed crme dynasty n postwar New York Cty transfers control of hs clandestne empre to hs reluctant youngest son.,Francs Ford Coppola,Marlon Brando,Al Pacno,James Caan,Dane Keaton,$134.97M
3,The Dark Knght,2008,2574810,9,12A,152 mn,"Acton, Crme, Drama",84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychologcal and physcal tests of hs ablty to fght njustce.",Chrstopher Nolan,Chrstan Bale,Heath Ledger,Aaron Eckhart,Mchael Cane,$534.86M
4,The Lord of the Rngs: The Return of the Kng,2003,1787701,9,12A,201 mn,"Acton, Adventure, Drama",94,Gandalf and Aragorn lead the World of Men aganst Sauron's army to draw hs gaze from Frodo and Sam as they approach Mount Doom wth the One Rng.,Peter Jackson,Eljah Wood,Vggo Mortensen,an McKellen,Orlando Bloom,$377.85M
5,Schndler's Lst,1993,1323776,9,15,195 mn,"Bography, Drama, Hstory",94,"n German-occuped Poland durng World War , ndustralst  gradually becomes concerned for hs Jewsh workforce after wtnessng ther persecuton by the Nazs.",Steven Spelberg,Lam Neeson,Ralph Fennes,Ben Kngsley,Carolne Goodall,$96.90M
6,The Godfather Part ,1974,1239027,9,X,202 mn,"Crme, Drama",90,"The early lfe and career of Vto Corleone n 1920s New York Cty s portrayed, whle hs son, Mchael, expands and tghtens hs grp on the famly crme syndcate.",Francs Ford Coppola,Al Pacno,Robert De Nro,Robert Duvall,Dane Keaton,$57.30M
7,12 Angry Men,1957,769113,9,U,96 mn,"Crme, Drama",96,The jury n a New York Cty murder tral s frustrated by a sngle member whose skeptcal cauton forces them to more carefully consder the evdence before jumpng to a hasty verdct.,Sdney Lumet,Henry Fonda,Lee J. Cobb,Martn Balsam,John Fedler,$4.36M
8,Ja Bhm,2021,191329,8.9,All,164 mn,"Crme, Drama, Mystery",,"When a trbal man s arrested for a case of alleged theft, hs wfe turns to a human-rghts lawyer to help brng justce.",T.J. Gnanavel,Surya,Ljo Mol Jose,Mankandan K.,Rajsha Vjayan,
9,Pulp Fcton,1994,1995346,8.9,18,154 mn,"Crme, Drama",94,"The lves of two mob htmen, a boxer, a gangster and hs wfe, and a par of dner bandts ntertwne n four tales of volence and redempton.",Quentn Tarantno,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Wlls,$107.93M
10,ncepton,2010,2284252,8.8,12A,148 mn,"Acton, Adventure, Sc-F",74,"A thef who steals corporate secrets through the use of dream-sharng technology s gven the nverse task of plantng an dea nto the mnd of a C.E.O., but hs tragc past may doom the project and hs team to dsaster.",Chrstopher Nolan,Leonardo DCapro,Joseph Gordon-Levtt,Ellot Page,Ken Watanabe,$292.58M
11,The Lord of the Rngs: The Two Towers,2002,1614489,8.8,12A,179 mn,"Acton, Adventure, Drama",87,"Whle Frodo and Sam edge closer to Mordor wth the help of the shfty Gollum, the dvded fellowshp makes a stand aganst Sauron's new ally, Saruman, and hs hordes of sengard.",Peter Jackson,Eljah Wood,an McKellen,Vggo Mortensen,Orlando Bloom,$342.55M
12,Fght Club,1999,2050591,8.8,18,139 mn,Drama,66,An nsomnac offce worker and a devl-may-care soap maker form an underground fght club that evolves nto much more.,Davd Fncher,Brad Ptt,Edward Norton,Meat Loaf,Zach Grener,$37.03M
13,The Lord of the Rngs: The Fellowshp of the Rng,2001,1808760,8.8,PG,178 mn,"Acton, Adventure, Drama",92,A meek Hobbt from the Shre and eght companons set out on a journey to destroy the powerful One Rng and save Mddle-earth from the Dark Lord Sauron.,Peter Jackson,Eljah Wood,an McKellen,Orlando Bloom,Sean Bean,$315.54M
14,Forrest Gump,1994,2011517,8.8,12,142 mn,"Drama, Romance",82,"The presdences of Kennedy and Johnson, the Vetnam War, the Watergate scandal and other hstorcal events unfold from the perspectve of an Alabama man wth an Q of 75, whose only desre s to be reunted wth hs chldhood sweetheart.",Robert Zemecks,Tom Hanks,Robn Wrght,Gary Snse,Sally Feld,$330.25M
15,"The Good, the Bad and the Ugly",1966,746445,8.8,X,148 mn,"Adventure, Western",90,A bounty huntng scam jons two men n an uneasy allance aganst a thrd n a race to fnd a fortune n gold bured n a remote cemetery.,Sergo Leone,Clnt Eastwood,El Wallach,Lee Van Cleef,Aldo Guffrè,$6.10M
16,Soorara Pottru,2020,111090,8.7,15,153 mn,Drama,,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and n the process takes on the world's most captal ntensve ndustry and several enemes who stand n hs way.",Sudha Kongara,Surya,Paresh Rawal,Aparna Balamural,Urvash,
17,The Matrx,1999,1868779,8.7,15,136 mn,"Acton, Sc-F",73,"When a beautful stranger leads computer hacker Neo to a forbddng underworld, he dscovers the shockng truth--the lfe he knows s the elaborate decepton of an evl cyber-ntellgence.",Lana Wachowsk,Llly Wachowsk,Keanu Reeves,Laurence Fshburne,Carre-Anne Moss,$171.48M
18,Goodfellas,1990,1125939,8.7,18,145 mn,"Bography, Crme, Drama",90,"The story of  and hs lfe n the mob, coverng hs relatonshp wth hs wfe Karen Hll and hs mob partners Jmmy Conway and Tommy DeVto n the talan-Amercan crme syndcate.",Martn Scorsese,Robert De Nro,Ray Lotta,Joe Pesc,Lorrane Bracco,$46.84M
19,Star Wars: Epsode V - The Empre Strkes Back,1980,1260107,8.7,U,124 mn,"Acton, Adventure, Fantasy",82,"After the Rebels are brutally overpowered by the Empre on the ce planet Hoth, Luke Skywalker begns Jed tranng wth Yoda, whle hs frends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",rvn Kershner,Mark Hamll,Harrson Ford,Carre Fsher,Blly Dee Wllams,$290.48M
20,One Flew Over the Cuckoo's Nest,1975,988024,8.7,15,133 mn,Drama,84,"A crmnal pleads nsanty and s admtted to a mental nsttuton, where he rebels aganst the oppressve nurse and ralles up the scared patents.",Mlos Forman,Jack Ncholson,Louse Fletcher,Mchael Berryman,Peter Brocco,$112.00M
21,Top Gun: Maverck,2022,197691,8.6,12A,130 mn,"Acton, Drama",78,"After more than thrty years of servce as one of the Navy's top avators, Pete Mtchell s where he belongs, pushng the envelope as a courageous test plot and dodgng the advancement n rank that would ground",Joseph Kosnsk,Tom Cruse,Jennfer Connelly,Mles Teller,Val Klmer,
22,nterstellar,2014,1745808,8.6,12A,169 mn,"Adventure, Drama, Sc-F",74,A team of explorers travel through a wormhole n space n an attempt to ensure humanty's survval.,Chrstopher Nolan,Matthew McConaughey,Anne Hathaway,Jessca Chastan,Mackenze Foy,$188.02M
23,Cty of God,2002,744265,8.6,18,130 mn,"Crme, Drama",79,"n the slums of Ro, two kds' paths dverge as one struggles to become a photographer and the other a kngpn.",Fernando Merelles,Káta Lund,Alexandre Rodrgues,Leandro Frmno,Matheus Nachtergaele,$7.56M
24,Sprted Away,2001,738076,8.6,PG,125 mn,"Anmaton, Adventure, Famly",96,"Durng her famly's move to the suburbs, a sullen 10-year-old grl wanders nto a world ruled by gods, wtches, and sprts, and where humans are changed nto beasts.",Hayao Myazak,Davegh Chase,Suzanne Pleshette,Myu rno,Rum Hrag,$10.06M
25,Savng Prvate Ryan,1998,1355358,8.6,15,169 mn,"Drama, War",91,"Followng the Normandy Landngs, a group of U.S. solders go behnd enemy lnes to retreve a paratrooper whose brothers have been klled n acton.",Steven Spelberg,Tom Hanks,Matt Damon,Tom Szemore,Edward Burns,$216.54M
26,The Green Mle,1999,1265684,8.6,18,189 mn,"Crme, Drama, Fantasy",61,"The lves of guards on Death Row are affected by one of ther charges: a black man accused of chld murder and rape, yet who has a mysterous gft.",Frank Darabont,Tom Hanks,Mchael Clarke Duncan,Davd Morse,Bonne Hunt,$136.80M
