id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,number_of_reviews_ltm,number_of_reviews,price,availability_365,minimum_nights,room_type,last_review,reviews_per_month,calculated_host_listings_count,,license
14175,10 Min To Manhattan - Nyc - Time Sq,55660,Julio,,Ward D (councilmember Michael Yun),40.75729,-74.03782,1,7,90,310,28,Entire home/apt,5/17/2022,0.18,1,,
23686,2000 SF 3br 2ba West Village outdoor living house,93790,Ann,,Ward E (councilmember James Solomon),40.72961,-74.00308,4,54,606,60,7,Entire home/apt,5/15/2022,0.45,2,,
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,,Ward E (councilmember James Solomon),40.73271,-74.00367,5,141,175,163,14,Entire home/apt,6/1/2022,0.98,1,,
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,0,10,128,83,3,Private room,10/12/2019,0.07,1,,
43726,"Apartment in Tribeca, NYC Panoramic VIEWS~",191091,Ev,,Ward E (councilmember James Solomon),40.721,-74.00971,0,13,264,288,30,Entire home/apt,12/29/2020,0.4,1,,
44288,Private studio in West Village on quite street,193637,Sara,,Ward E (councilmember James Solomon),40.73737,-74.00437,0,88,170,144,30,Entire home/apt,12/7/2020,0.61,1,,
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,,Ward E (councilmember James Solomon),40.72012,-74.00397,2,108,636,306,30,Entire home/apt,2/5/2022,0.83,1,,
71366,Beautiful One Bed West Village - 4 Month Special,364955,Ruperto,,Ward E (councilmember James Solomon),40.72997,-74.00196,2,44,200,100,30,Entire home/apt,5/22/2022,0.36,1,,
133832,Fab Luxury Condo Private and Quiet,618991,Wendy,,Ward D (councilmember Michael Yun),40.76438,-74.03675,0,2,150,263,30,Entire home/apt,10/31/2014,0.02,1,,
171455,Cozy Condo near NYC @ Great Value,818109,Dani,,Ward D (councilmember Michael Yun),40.74575,-74.03274,12,75,85,33,4,Private room,5/31/2022,0.57,2,,
212109,2-bedroom share in heart of Greenwich Village!,666271,Susan,,Ward E (councilmember James Solomon),40.73814,-74.00811,0,10,89,150,30,Private room,8/5/2019,0.12,1,,
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,19,146,124,252,6,Entire home/apt,6/1/2022,1.11,2,,STR20-00055
